income_groups,time,income_mountain_50bracket_shape_for_log
high_income,1967,"36734,51465,60467,62988,58511,47680,32985,18470,7754,2640,1506,2255,8663,32495,80572,132200,144384,114776,124284,232411,405722,666368,1179958,2220137,4046101,6967996,11071099,16594795,24297426,31618242,33994646,30275594,22100597,13317580,6631368,2848828,1136010,504420,245717,84372,20662,9522,7297,4058,1395,398,158,75,26,13"
high_income,1968,"34973,50685,60597,63985,60340,50023,35409,20372,8851,2935,1436,1923,7151,28330,74398,128440,147259,118900,116940,212607,377452,616604,1079570,2019627,3722058,6502196,10511152,15855181,23496132,31234822,34458917,31448424,23527335,14527025,7404403,3241713,1308161,569403,282322,104399,26731,10956,7997,4560,1642,487,200,99,40,18"
high_income,1969,"34187,50725,61483,65780,63053,53427,39070,23597,11123,4045,1697,1751,6400,26296,71375,126715,149226,122804,117031,207199,368268,598877,1036822,1927467,3578162,6319411,10376274,15903319,23974015,32252713,35834037,32845923,24724027,15421197,7976391,3537277,1445955,626630,312995,121565,32728,12351,8714,5241,2016,588,228,121,60,30"
high_income,1970,"35432,51924,62560,66625,63568,53608,38994,23421,10992,4029,1694,1736,6783,27907,74520,129953,149984,121393,118057,211820,372352,602299,1044813,1947007,3617473,6410928,10541523,16195940,24435193,32778431,36262655,33033074,24688724,15284704,7906905,3518201,1457212,650054,329291,130920,38488,14240,9605,6138,2592,784,298,156,84,42"
high_income,1971,"34746,51838,62982,67498,64833,55089,40477,24611,11725,4303,1697,1566,6108,26142,71967,128605,151748,123747,114988,202843,359357,579427,999000,1855702,3463158,6188755,10274165,15853438,24063340,32665419,36658427,33812555,25583524,16013698,8385642,3765009,1566216,694703,356275,148272,47025,16237,10032,6589,2923,892,333,170,92,49"
high_income,1972,"32260,50516,62689,68227,66588,57602,43296,27077,13473,6201,6043,10128,17594,34704,72920,125328,154072,132215,124320,225094,405886,630499,1031400,1856070,3412069,6130110,10700969,17808236,28005017,36521994,40331274,36926985,28073246,17851277,9542070,4346370,1808743,778645,396457,169602,48672,15412,9901,6844,3147,965,351,169,89,50"
high_income,1973,"29256,48785,62113,68815,68363,60297,46427,29935,15387,6827,5758,9550,16543,32219,70160,129578,173934,161041,139524,227704,439742,713594,1146335,2027971,3870313,7580358,14872559,28289581,43999970,55372493,58254949,51454688,37498413,23132762,12211183,5503368,2278879,975524,471928,198564,54478,15336,9775,7079,3412,1081,385,183,89,51"
high_income,1974,"30783,50266,63459,69895,69050,60531,46262,29576,15045,6942,7984,17472,35290,64827,113846,179692,232557,237642,237554,353157,610194,942895,1467705,2526568,4730392,9334597,18845349,36049134,55182548,68533455,69741183,59555683,41855026,24965349,12918127,5777406,2404798,1058613,538077,255181,93732,30909,12953,7499,3552,1136,388,179,88,51"
high_income,1975,"32528,51937,64977,71116,69797,60730,45953,28916,14321,6383,7681,17617,36435,67651,118102,183337,232630,233010,231078,349378,611166,952961,1495149,2599863,4904959,9741391,19724553,37471214,57065375,70378229,71007605,60197142,41874087,24707371,12590580,5549891,2297208,1018594,520348,236461,80153,27426,12198,6425,2644,768,279,119,69,36"
high_income,1976,"29737,50343,64501,71843,71947,64447,51257,35605,21792,13567,13262,20389,35559,63659,113236,183288,245303,257605,248442,341921,581683,904876,1401914,2405153,4530225,9041783,18399000,35836639,57671879,74308749,76687135,66492250,47382798,28155663,14479094,6430441,2651227,1150856,583587,270143,91351,31077,13307,6496,2570,777,293,136,75,44"
high_income,1977,"27398,49012,64122,72418,73446,66719,54101,38588,24363,15375,14397,21063,35606,62623,111202,183377,254027,279915,282631,392147,672836,1081238,1731903,2911321,5065013,9285698,17930058,34393628,56232516,73809961,77509864,68550600,50075320,30226151,15807900,7113605,2944670,1267700,640371,305793,104807,34409,14242,6852,2747,799,278,129,68,41"
high_income,1978,"22777,46894,63177,72745,74966,69321,57091,41222,25958,15533,13133,18736,31815,55791,99555,171327,256255,302169,295105,359363,592167,951860,1576268,2865048,5418384,10876249,21710152,40041768,63039789,81694673,84688300,74355752,54636198,33473874,17842610,8178862,3428787,1460205,704833,316353,105318,34835,14604,6886,2732,794,278,145,83,40"
high_income,1979,"21443,46108,63072,73500,76870,72832,62473,48437,34372,23722,19314,21764,31904,57333,111233,199288,296774,343351,327746,390627,636025,1000405,1637183,3058314,6044853,12294077,25076301,47438408,73366790,92118327,94645125,82283299,60167911,36814561,19666578,9070296,3800223,1614385,786627,374655,126764,40008,15997,7450,3015,888,301,146,71,40"
high_income,1980,"22767,47639,64538,74762,77824,73383,62863,48895,35028,24644,20380,22842,33498,61383,120033,212655,311167,360892,364522,469678,777834,1248362,2087625,3800958,7039974,13331139,26224314,48689210,75479982,94731908,97598257,84405472,61450763,37221507,19672284,8998478,3744679,1605527,809984,408261,148399,44641,16424,7787,3322,945,270,116,60,35"
high_income,1981,"25100,48857,65809,75741,78005,72074,59520,43362,27868,18521,21996,42867,80978,129666,181930,246374,337076,433674,520449,706293,1132688,1930702,3384503,6019120,10427595,18689254,33014519,56626319,85729526,106437216,105550761,88369248,63563496,38183372,20059950,9176449,3851161,1644138,810310,397249,136165,40103,14819,7141,2999,778,189,84,43,25"
high_income,1982,"25694,49801,66538,75808,77628,72104,61131,47833,35850,28284,29468,44722,77761,128052,192210,272212,371269,458579,524641,686669,1045797,1697281,2989309,5500020,10327925,19832061,36940490,65273914,96563283,117375683,114168657,92897728,65325414,38881077,20205546,9161187,3885111,1682755,817257,378340,124417,38550,15213,7034,2855,695,147,64,29,17"
high_income,1983,"26104,50587,67581,77047,79003,73721,63282,50782,39819,32963,33642,47183,78246,126112,184748,256822,358068,465130,540903,678201,1010637,1632751,2871941,5302478,9959912,19146382,35732475,63524367,94245792,115959646,114402215,94484580,67788269,41829533,22666744,10621577,4597637,2000044,919399,405242,140285,43327,16157,7026,2894,764,157,68,25,10"
high_income,1984,"26786,51641,68387,76956,77737,71579,61272,50251,41794,37171,37955,49399,77596,122609,177920,246388,351244,476768,573666,711684,1035064,1662292,2951735,5474442,10176460,19193487,35534785,62340490,93369710,115975154,116035203,96259114,69624239,43588166,24005601,11467532,5012874,2183267,1007547,451381,162641,50358,17886,7029,2726,730,175,66,33,12"
high_income,1985,"28135,54161,71670,80625,81559,75471,65351,54745,46907,42408,41404,48323,70526,110452,163010,229376,335697,472346,580828,703714,989731,1589187,2832419,5240327,9810591,18635831,34621957,60350943,91285902,115842449,118028255,98422107,71712531,45585575,25485077,12212830,5376109,2362122,1046885,453523,168157,47845,15164,6217,2600,745,169,61,29,14"
high_income,1986,"30185,57847,76282,85482,85936,78998,67891,56703,48766,44244,42194,45732,62793,97338,146338,214268,324344,467591,580361,692891,945362,1486642,2685154,5051187,9491437,17962276,33470418,57848722,89043262,115120743,120301567,101136912,74282689,47873406,26995690,13126977,5750467,2492898,1058975,454480,163619,43555,13058,5537,2462,754,179,62,32,15"
high_income,1987,"28658,56056,77165,92292,101309,104582,103684,101353,99815,98868,96296,94474,103327,132782,184062,253922,361946,529367,725248,987392,1520326,2602625,4484817,7777004,13668332,24111821,42480275,68740055,100417716,125140495,128503425,109085676,80071089,51316309,28776841,13955007,6128331,2680872,1125257,480190,168927,42192,12427,5613,2555,877,276,127,78,41"
high_income,1988,"23621,46723,65750,81210,92801,100115,103158,102774,99591,93994,85462,77770,80306,102196,146707,215757,325036,489686,679843,930836,1434260,2430169,4148219,7142334,12510565,22348141,39794442,65495236,98499017,125594572,132189240,114039539,84289092,54216440,30106984,14688480,6535903,2829101,1220750,543252,200880,47775,11493,5178,2420,883,289,138,78,44"
high_income,1989,"19000,38248,55735,72279,87306,99467,106846,107714,101003,87847,70556,55948,54117,72566,113112,180648,290180,453513,641614,888105,1386812,2343105,3900645,6606453,11601114,20916593,37429705,62579396,96151157,124828120,134593288,118133205,88380850,57457534,32300944,15975515,7178713,3145993,1393495,626001,231680,53519,10916,4816,2232,904,330,153,89,45"
high_income,1990,"12356,26091,40915,58092,77026,95800,111304,119942,118653,107873,90356,73979,68101,78417,106617,161110,253520,385674,515205,652355,935374,1496297,2589832,4746989,8982906,17615323,33453342,58620280,91782055,122915363,136234221,121686975,92056645,60076968,33472613,16442809,7383691,3268838,1499415,689814,252285,56414,10595,4173,1726,661,239,105,62,36"
high_income,1991,"6167,14718,27084,45003,67936,93568,117335,133402,136235,125521,105594,86982,80682,91248,116775,164941,247770,367119,490038,637178,932523,1511736,2601309,4724405,8925966,17341587,32559365,57424697,90666498,123693958,138774317,124677183,94265325,60865143,33529377,16199056,7230948,3220279,1504237,699556,258965,58363,10867,3894,1374,526,214,101,63,34"
high_income,1992,"8553,19274,33450,52718,76419,102028,124832,138645,137868,122474,98277,78871,78769,103942,148613,214310,301487,403884,516522,722465,1111789,1678527,2694153,4871179,9170118,17484171,32563572,57017707,89297982,122270821,140262413,126878329,95230237,61402382,34352923,16967068,7640495,3356562,1496968,696494,279544,70671,12730,3817,1092,409,207,118,71,31"
high_income,1993,"7446,14678,20792,26027,30367,33523,35314,35994,35971,36245,39564,50574,77771,135004,225250,327507,393634,404865,448530,684862,1145779,1770157,2830517,4984382,9284497,18024960,33768637,57670000,90022626,123199718,140918256,126353877,95072782,61289420,34853026,17264677,7796320,3493691,1541175,596550,254982,258895,221021,95044,17906,1488,286,132,82,38"
high_income,1994,"3587,6894,9937,13058,16598,20774,25610,31155,36976,42863,50377,67073,110372,202040,327661,425674,427375,365842,413886,696972,1166056,1800150,2891413,5090146,9410741,17641129,33228935,57686226,90848668,123561718,142735586,131027638,98443084,63103280,36015769,18189876,8289112,3732338,1679255,653308,276202,269673,220704,90580,16289,1446,322,155,87,51"
high_income,1995,"51,185,576,1692,4113,8553,15200,24260,35401,48220,65628,99032,164498,265506,370028,423921,402992,369170,443503,711959,1191214,1897535,3186070,5784399,10701464,19670096,36252759,63233837,98893890,131419629,149352650,136844338,102457706,65786618,37199424,18960377,8683915,3883565,1772188,723897,282817,252937,228623,107359,22919,2214,373,163,91,55"
high_income,1996,"1592,3195,4913,7070,9985,13991,19271,26667,39393,63326,106057,168296,241974,304149,325745,294151,248329,286931,473009,779857,1181769,1795446,3006275,5499642,10276227,19285075,35940064,63005497,99076017,133762259,152753175,140760220,104992727,68588000,39401487,19946775,9054550,3999072,1757100,698732,229293,181190,255762,194018,74478,12799,1166,195,93,59"
high_income,1997,"3009,6017,9069,12389,16136,21163,29985,47232,78456,124120,177372,221433,243681,243765,236028,234206,258914,369738,575950,804640,1087779,1667133,2875756,5288418,9924478,18659513,34322595,60548818,97522844,134759722,155023038,143161285,108164938,70630090,40770661,20952000,9770162,4500235,1996890,846786,347527,238822,262042,181893,66632,11205,1096,211,98,65"
high_income,1998,"4412,8846,13465,18835,26006,37318,55553,82519,117293,153556,179918,185880,175404,171065,205830,293920,397910,470758,502531,612620,989918,1636041,2532734,4328095,8189005,15700584,29490859,52699235,85583107,123371063,148319835,140766358,110537712,73918739,43750329,22171908,10517386,4873238,2104615,874181,375633,285743,285252,170353,52029,7432,905,206,93,66"
high_income,1999,"3165,6699,10869,15803,21182,26840,33846,45380,66930,101050,144619,185819,212901,224699,233918,249627,266934,322295,449858,637838,931433,1447513,2318752,4096240,7772468,14886815,28220295,51160899,83919313,122516663,148313016,143266365,113419105,77095998,45398919,23511231,11226731,5199121,2361625,1057243,450440,315561,303974,176918,53318,8578,1399,273,99,66"
high_income,2000,"2111,4915,8946,15068,24424,39276,61375,90289,122460,149898,161725,153128,135907,135848,170274,225928,275025,342142,440902,581542,883174,1450735,2314079,3939884,7297210,14082809,26737724,48722894,81865614,121328261,149397859,147250255,117235472,79959046,47174146,24394473,11677041,5391874,2471909,1120544,437433,234680,304892,282046,142469,40590,7526,908,143,66"
high_income,2001,"32792,62128,79894,85974,81658,69741,54780,41544,33134,29036,27839,36273,75766,171647,311752,425254,427997,350756,372823,600309,1010605,1605683,2525992,4342641,7933403,14945659,28517961,52611997,87735191,129676973,158873689,154913173,122732016,83339552,49282922,25428237,12456818,5884944,2820865,1363359,582610,307075,317561,272883,130827,32590,4980,808,243,114"
high_income,2002,"27656,55496,78563,96768,107887,108914,98570,78864,54774,34156,24044,28591,55172,121426,236420,372378,455404,445914,438142,590692,982910,1609753,2586386,4500868,8132421,14919656,28144011,51566895,85912056,129214070,160104009,157241827,125199872,84613934,50483914,26610723,12784537,6047104,3019640,1469143,593264,332999,308474,197250,66725,12041,2701,914,351,152"
high_income,2003,"315,606,934,1341,1899,2665,3766,5793,11435,26546,59396,113386,184859,260898,318942,342848,347396,405280,550885,748197,1021400,1532865,2507819,4476178,8147948,14811123,27811229,50706797,84433643,129017555,160731731,159202840,126656429,85556178,52100066,27681164,13617383,6638018,3177129,1519270,683069,400086,312381,166528,47172,8051,2539,1140,477,194"
high_income,2004,"2544,4317,5134,5157,5379,8384,18423,40182,76006,120734,162475,185441,185993,182379,201659,261474,342122,433647,544228,716170,1096490,1813187,2989149,5255901,9413411,16437382,29301010,52555022,86872324,129962852,163462207,163086587,131702516,90428690,53893328,27887976,13670432,6607437,3183195,1542615,657331,352310,322316,221147,79458,14272,2825,1179,614,311"
high_income,2005,"2982,5292,6780,7453,7629,7826,9163,14748,30713,62436,110950,166406,212721,237892,248655,271621,325165,414869,527004,675622,971103,1605134,2800943,5052834,9072767,16040680,28565998,51481615,85746597,130112124,165044490,166303881,134403007,91189565,54873375,29144705,14562362,7028227,3433856,1638160,770962,421742,329834,216791,77569,13392,2271,841,438,249"
high_income,2006,"2655,4655,5744,5931,5751,6998,13213,29366,59695,101969,146659,176906,182030,171339,172234,218215,306159,410106,509428,634799,922723,1521057,2626139,4857196,8960992,15863429,28539244,52212991,87321235,131058305,167700064,168794590,137863597,95248278,57824673,30845918,15349427,7562799,3732223,1787602,826160,412201,340580,265220,112462,23303,3234,813,327,173"
high_income,2007,"1124,2051,2803,3419,4277,6814,14294,31569,63282,107632,155015,187416,192847,179992,173989,199252,255886,351552,494940,693224,1008608,1565544,2598964,4716824,8912347,16846085,30632447,53028296,85827236,128320592,167504722,174060819,144967571,101490648,61886229,33583497,16881444,8391819,4192724,1854996,757439,446949,366885,217604,74245,17562,6703,3135,1199,374"
high_income,2008,"646,1219,1985,3682,8035,18442,38432,69426,109147,148618,173595,172297,150186,137998,179101,285030,395194,444196,465086,632593,1074673,1712377,2634167,4669902,8964992,16684681,30718315,54770339,89677450,132897116,170180694,174546672,145800745,101449690,61968157,33079346,16513956,8021070,3939657,1770026,849559,527745,359752,173898,47493,8676,2532,943,408,220"
high_income,2009,"1853,2991,3717,3999,4020,4023,4316,5263,7728,14670,34938,80602,156177,247906,317745,326458,290177,310610,478231,749235,1080524,1708348,3149315,6139112,11866515,21477487,36397780,60082872,95401825,137698410,173995459,178400456,149616756,105779476,63990906,34041176,16867743,7846367,3463756,1608301,768922,437977,357530,218457,71366,11590,2143,916,466,242"
high_income,2010,"1149,2354,4236,8561,17817,35208,62177,96549,131779,156990,161206,143653,117942,109729,144845,231466,341162,421240,479855,674070,1114647,1800851,3167263,6087705,11194712,19848366,33812934,57550862,95315939,140247823,177446536,180233172,152704754,106838291,65118089,34898348,16726857,7455806,3453511,1619715,801978,467051,216074,62428,21814,10627,4977,2063,858,405"
high_income,2011,"1460,2795,3960,5322,8018,14901,30153,57378,97283,142909,180361,193500,177424,146169,131675,173711,288713,462719,638512,832486,1183834,1919002,3412136,6350464,11660587,20148210,34222097,59257156,96859316,141246665,178902526,180028840,151420295,106419420,65209246,35266158,17136239,7847101,3623508,1725080,864876,510161,296987,111227,27199,8907,4590,2352,1260,632"
high_income,2012,"1233,2393,3686,5190,7306,11490,21061,40741,74753,120599,168549,200958,203297,178969,171999,247866,410031,594877,762939,1036980,1649263,2965340,5753140,11339552,21655136,37911783,58962053,85990524,121766323,159479932,191722140,190322667,156596562,110065167,67105379,35907609,17824594,7974305,3585948,1785030,899436,518456,308299,112273,24533,6493,3212,1820,1015,517"
high_income,2013,"592,1229,2008,3033,4632,8389,17589,37083,70779,115823,162053,191862,192919,170455,164598,236669,400138,620013,841587,1126687,1665508,2793849,5322632,10741167,21230329,37609047,58704563,86301157,122002345,160460993,192693254,192686522,157897142,111099191,67705754,36821128,17913988,8148960,3755452,1801598,994868,585775,269145,78570,18449,6113,2406,1151,652,370"
high_income,2014,"21980,46096,69817,93539,114151,126226,125207,109431,82533,54555,42082,63006,124722,220171,329101,439270,579942,834172,1228976,1798371,2777250,4717399,8476653,15387012,27584420,45368682,67855256,96860391,132210967,169697970,202363750,199501836,160455957,110348032,68211449,38254092,19398827,9164602,4132384,1931241,1019099,549834,250343,78667,20647,10001,5669,2837,1269,542"
high_income,2015,"1356,3941,9441,20755,40069,68592,103893,139491,164761,169674,149648,114069,86727,104154,193670,347708,512158,660073,853119,1139680,1508226,2172506,3727755,6910642,12743308,22231865,36694345,61464437,99307427,142710187,182164682,190386550,158451831,110995927,69407736,38486245,19066228,9125795,4251697,2043045,1106411,643870,308384,94732,23365,9373,4874,2384,1156,600"
high_income,2016,"2865,5678,9369,15987,28235,49607,81251,120314,159046,185016,185481,159155,124488,121108,186157,313060,454955,591278,776495,1059634,1417920,1977662,3245500,5988076,11413680,20927973,35219611,59383470,95827043,138944100,179380953,190043734,163074263,116919428,73388555,40924710,20920427,9896803,4676789,2302303,1152905,629672,336802,124255,31024,9379,4020,1827,845,399"
high_income,2017,"41427,79630,106112,120591,122640,112397,92181,67651,46848,38216,49799,87715,151209,225177,283811,318296,383111,584407,910621,1230258,1586798,2312969,3942081,7252106,13331403,23603993,39768817,64938950,102402206,144772013,185590403,195680384,167569783,121889804,76407703,43073834,21893334,10326778,4834645,2298785,1128188,652223,372914,136883,32362,8715,3619,1639,778,393"
high_income,2018,"5553,10585,15476,21640,31494,48618,75505,111257,150417,181183,189326,167447,125126,91030,112009,223170,400857,593411,779624,1020505,1380801,1960486,3148682,5701486,10943788,19832773,34267357,57783486,92337383,135938203,179297367,193186534,168811087,124119029,79456336,45213653,22747290,11163781,5436804,2664068,1280617,708699,467398,221631,60544,12817,4912,2406,1163,525"
high_income,2019,"5580,10622,14951,18608,21583,23851,25560,27826,34992,54181,92758,149654,209411,246475,251188,260209,339629,562727,894188,1220973,1539257,2103128,3374323,6008750,11330300,20538704,35605269,58084951,93524885,136044687,179057046,194273260,171320277,127559078,83554176,49136998,25753642,12671224,6178278,3049695,1519008,843903,496131,208391,51430,12258,4772,2167,1002,461"
high_income,2020,"5437,10838,15270,19008,22016,24215,25773,27997,35564,55897,96046,153299,210644,241536,239898,245274,322841,532125,817301,1065279,1290654,1734859,2854668,5363462,10435852,19133951,33771755,56353762,90868405,133443589,176198138,189249711,164831412,121631459,79227297,46263174,24051993,11805433,5752156,2838139,1425153,807313,468961,187608,45535,11607,4690,2231,1098,533"
high_income,2021,"4227,9918,14381,18197,21269,23578,25271,27294,33620,51331,87966,143831,204456,245233,254018,263034,336558,555867,921135,1378808,2001505,3273741,6365369,12972868,25782907,45365711,70658682,99579207,130472817,165423586,199699212,208459189,181514752,135341143,89217110,53025190,28079746,13844486,6729046,3327501,1662727,910295,535716,236633,62741,15525,6008,2834,1399,663"
high_income,2022,"3422,9382,13922,17843,21001,23397,25127,26970,32446,48434,82578,136760,197976,242633,254618,261723,326325,533196,898258,1369260,2016449,3336606,6568636,13513955,26958758,46969229,71171241,98195871,126916999,161070111,196126103,208790452,185346948,140434431,93751193,56386350,30252187,15044311,7353019,3643491,1814554,972635,573465,267953,75326,18381,6868,3236,1627,794"
high_income,2023,"2904,9073,13637,17574,20733,23140,24853,26682,31871,47181,80280,133859,195941,243630,258733,266778,328724,529854,896576,1381730,2046785,3359635,6566678,13461740,26801466,46721049,70259628,96315857,124014807,157709744,193599605,209308650,188376523,144118051,97014644,58759052,31765476,15851732,7759933,3842220,1911397,1017132,600416,288761,84133,20735,7687,3669,1845,927"
high_income,2024,"2726,8831,13413,17360,20530,22945,24691,26553,31649,46712,79442,133024,195970,245862,263555,273148,335018,535421,906823,1407039,2090841,3380200,6479209,13127349,25981122,45688318,69060607,95358059,123126183,156844307,193121820,210584074,191206658,147192901,99572730,60552797,32869550,16428333,8043298,3978907,1977262,1047791,618473,301918,89982,22546,8407,4027,2039,1042"
high_income,2025,"2521,8616,13213,17172,20346,22749,24449,26206,30962,45319,76962,129463,191851,242084,259871,267431,323405,512238,867691,1344780,1993456,3204517,6134154,12504074,24898874,44394116,67692021,94210042,122073127,155777857,192480683,211654318,193894585,150230878,102213931,62476974,34109822,17097184,8378296,4142886,2057583,1083852,638723,317211,97035,24500,9060,4342,2211,1125"
high_income,2026,"2169,8381,13016,16995,20182,22597,24333,26057,30591,44383,75226,127065,189563,241001,259949,266346,317005,494857,837028,1296348,1912333,3077525,5912122,12136500,24347230,43889817,67505877,94685673,122561570,155876257,192296207,212669839,196365520,153087480,104732738,64345122,35327619,17757301,8708761,4304741,2136617,1118844,658572,332556,104224,26535,9717,4651,2373,1218"
high_income,2027,"2064,8178,12858,16887,20104,22554,24311,25963,30225,43396,73329,124273,186460,238564,258565,264288,310949,479966,811768,1260438,1861414,2983630,5692844,11697233,23537885,42828948,66177130,93491576,121601860,154846559,191481801,213199155,198461026,155712773,107130382,66182012,36570417,18448372,9058618,4476587,2220786,1155542,678215,347797,111725,28522,10266,4891,2510,1290"
